Word	Lowest_AoA	Highest_AoA	All_Synonyms_Had_AoAs
lampshade	5.63	5.63	True
landmine	10.95	10.95	False
lantern	8.55	8.55	True
lanyard	12.14	12.14	False
laptop	12.44	12.44	False
lasagna	5.0	5.0	False
laser pointer	7.7	7.7	False
latch	8.0	8.0	True
latte	13.47	13.47	False
laundry basket	nan	nan	False
lava	6.44	6.44	True
lavender	9.11	9.11	True
lawnmower	6.11	6.89	True
leaf	4.6	12.6	True
leash	5.79	10.67	True
lectern	12.92	12.92	False
leech	7.84	9.56	False
leek	11.0	11.0	False
leg	3.0	3.0	True
leggings	nan	nan	False
lego	nan	nan	False
lemon	4.74	4.74	True
lemonade	5.06	5.06	True
lens	9.53	9.53	False
leopard	6.84	6.84	False
leotard	nan	nan	False
letter opener	nan	nan	False
lettuce	4.28	4.28	True
license plate	nan	nan	False
licorice	5.79	5.79	False
lid	5.95	5.95	True
life jacket	7.93	7.93	False
lifesaver	7.3	11.75	False
light switch	4.78	5.94	True
lightbulb	5.89	6.56	False
lighter	4.05	12.53	False
lightning bug	6.39	6.39	False
lime	6.61	6.61	True
limousine	8.17	8.42	True
lingerie	13.44	13.44	False
lion	4.42	4.42	False
lip balm	nan	nan	False
lip gloss	9.9	9.9	False
lipstick	5.42	5.42	False
lizard	5.42	5.42	True
llama	8.61	8.61	True
lobster	7.44	7.44	True
lock	5.74	5.74	True
locker	6.06	8.22	False
locket	8.35	8.35	True
log	6.74	6.74	True
loincloth	9.67	9.67	False
lollipop	3.89	6.11	False
loom	8.78	8.78	True
loveseat	8.5	8.5	False
luggage	7.52	7.63	True
lumber	6.47	7.33	True
lunchbox	4.25	4.25	True
macadamia	12.19	12.19	False
macaroni	5.15	5.15	True
machete	9.6	9.6	False
machine gun	8.74	8.74	True
maggot	9.5	9.5	True
magnet	6.1	6.1	True
magnifier	9.7	9.7	True
magnifying glass	nan	nan	False
mail	4.65	8.11	True
mailbox	6.11	9.83	True
makeup	7.44	7.44	False
mallet	5.32	10.94	True
man	3.11	3.11	False
manatee	10.56	10.56	False
mandolin	12.39	12.39	True
mango	8.22	8.22	True
manhole	6.83	6.83	True
mannequin	7.58	9.24	False
mantle	7.72	11.0	False
map	5.6	5.6	True
maple syrup	nan	nan	False
marble	7.05	7.05	True
margarita	12.6	12.6	True
marijuana	10.89	14.15	False
marker	4.89	4.89	True
marmalade	10.39	10.39	True
marshmallow	3.8	3.8	True
mascara	9.21	9.21	True
mashed potato	nan	nan	False
mask	4.8	4.8	True
mast	10.59	10.59	True
mat	4.62	4.62	True
match	5.72	5.72	False
matchbox	6.52	6.52	True
mattress	5.1	5.1	True
measuring cup	nan	nan	False
meat	4.42	4.42	True
